elapsed_seconds,throughput_tflops,telemetry
680.9685335159302,20.223783737480925,"['2026/09/22 23:00:16.374', ' 0', ' 49', ' 33.25', ' 585', ' 5000']"
686.0120372772217,20.210207978140424,"['2026/09/22 23:00:21.416', ' 6', ' 49', ' 28.14', ' 585', ' 5000']"
691.0595564842224,19.985977931283845,"['2026/09/22 23:00:26.461', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
696.1024158000946,20.172117950645703,"['2026/09/22 23:00:31.507', ' 0', ' 49', ' 31.09', ' 585', ' 5000']"
701.1442739963531,20.23222089229633,"['2026/09/22 23:00:36.549', ' 0', ' 49', ' 31.27', ' 585', ' 5000']"
706.1873645782471,20.218595140168468,"['2026/09/22 23:00:41.593', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
711.2320139408112,20.252240372820374,"['2026/09/22 23:00:46.634', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
716.279105424881,20.232718290900003,"['2026/09/22 23:00:51.683', ' 6', ' 49', ' 41.87', ' 585', ' 5000']"
721.3222234249115,20.26477305325927,"['2026/09/22 23:00:56.726', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
726.3706269264221,20.071672872170485,"['2026/09/22 23:01:01.773', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
731.4140472412109,20.13823064600985,"['2026/09/22 23:01:06.819', ' 0', ' 49', ' 39.03', ' 585', ' 5000']"
736.4553816318512,20.29884209372398,"['2026/09/22 23:01:11.861', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
741.4967555999756,20.14295000469919,"['2026/09/22 23:01:16.903', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
746.5381441116333,20.19198597591498,"['2026/09/22 23:01:21.944', ' 0', ' 49', ' 28.23', ' 585', ' 5000']"
751.5830340385437,20.18785741517359,"['2026/09/22 23:01:26.985', ' 6', ' 49', ' 42.76', ' 585', ' 5000']"
756.6242988109589,20.16451184286972,"['2026/09/22 23:01:32.030', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
761.6711139678955,20.14349911713401,"['2026/09/22 23:01:37.076', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
766.711882352829,20.256037059996856,"['2026/09/22 23:01:42.118', ' 0', ' 49', ' 37.38', ' 585', ' 5000']"
771.7546689510345,20.27195265677586,"['2026/09/22 23:01:47.159', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
776.8001580238342,20.179525359644,"['2026/09/22 23:01:52.204', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
781.8424360752106,20.270945053115557,"['2026/09/22 23:01:57.247', ' 0', ' 49', ' 31.09', ' 585', ' 5000']"
786.8857553005219,20.165644996547346,"['2026/09/22 23:02:02.289', ' 6', ' 49', ' 34.34', ' 585', ' 5000']"
791.927013874054,20.13474051081122,"['2026/09/22 23:02:07.333', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
796.9913759231567,19.861926975786382,"['2026/09/22 23:02:12.389', ' 0', ' 49', ' 29.21', ' 585', ' 5000']"
802.0412640571594,20.13573756903889,"['2026/09/22 23:02:17.439', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
807.0870110988617,19.993170713168386,"['2026/09/22 23:02:22.491', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
812.1345391273499,20.19089731943467,"['2026/09/22 23:02:27.536', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
817.1777012348175,20.191357091790074,"['2026/09/22 23:02:32.582', ' 4', ' 50', ' 36.96', ' 585', ' 5000']"
822.2213363647461,20.0373915785686,"['2026/09/22 23:02:37.625', ' 0', ' 50', ' 28.14', ' 585', ' 5000']"
827.2658076286316,20.175952774875775,"['2026/09/22 23:02:42.669', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
832.3078694343567,20.226548705775187,"['2026/09/22 23:02:47.713', ' 0', ' 49', ' 38.34', ' 585', ' 5000']"
837.3515620231628,20.22888270104341,"['2026/09/22 23:02:52.755', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
842.3979215621948,20.076214452868122,"['2026/09/22 23:02:57.802', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
847.4453349113464,20.24728473405661,"['2026/09/22 23:03:02.846', ' 6', ' 49', ' 33.25', ' 585', ' 5000']"
852.4881401062012,20.191045631310292,"['2026/09/22 23:03:07.893', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
857.5360748767853,20.19118504523255,"['2026/09/22 23:03:12.935', ' 0', ' 49', ' 28.16', ' 585', ' 5000']"
862.578376531601,20.241624966824084,"['2026/09/22 23:03:17.984', ' 0', ' 49', ' 32.28', ' 585', ' 5000']"
867.6262166500092,19.46892293066327,"['2026/09/22 23:03:23.026', ' 0', ' 50', ' 28.14', ' 585', ' 5000']"
872.6723175048828,20.100402372870313,"['2026/09/22 23:03:28.077', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
877.7226808071136,20.047036427968468,"['2026/09/22 23:03:33.123', ' 0', ' 49', ' 28.24', ' 585', ' 5000']"
882.7650947570801,20.14720788412055,"['2026/09/22 23:03:38.170', ' 0', ' 49', ' 35.70', ' 585', ' 5000']"
887.8098645210266,20.204055082196767,"['2026/09/22 23:03:43.213', ' 0', ' 49', ' 28.16', ' 585', ' 5000']"
892.8522233963013,20.20074102340847,"['2026/09/22 23:03:48.258', ' 0', ' 49', ' 28.16', ' 585', ' 5000']"
897.895339012146,20.187474897651636,"['2026/09/22 23:03:53.299', ' 0', ' 49', ' 40.42', ' 585', ' 5000']"
902.9390232563019,20.207753501087918,"['2026/09/22 23:03:58.342', ' 0', ' 49', ' 28.16', ' 585', ' 5000']"
907.9813084602356,20.249584732108012,"['2026/09/22 23:04:03.386', ' 0', ' 49', ' 28.16', ' 585', ' 5000']"
913.0330457687378,20.084975037513612,"['2026/09/22 23:04:08.432', ' 6', ' 49', ' 32.67', ' 585', ' 5000']"
918.0755655765533,20.178704678304058,"['2026/09/22 23:04:13.480', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
923.1201722621918,20.183265189413298,"['2026/09/22 23:04:18.522', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
928.1614151000977,20.235971342991625,"['2026/09/22 23:04:23.567', ' 0', ' 49', ' 31.98', ' 585', ' 5000']"
933.2083280086517,20.220933250137364,"['2026/09/22 23:04:28.608', ' 0', ' 49', ' 28.26', ' 585', ' 5000']"
938.2489948272705,20.215231710023595,"['2026/09/22 23:04:33.655', ' 0', ' 49', ' 28.26', ' 585', ' 5000']"
943.2917366027832,20.290274407815456,"['2026/09/22 23:04:38.696', ' 0', ' 49', ' 28.26', ' 585', ' 5000']"
948.3435719013214,15.478103898813211,"['2026/09/22 23:04:43.745', ' 0', ' 49', ' 35.82', ' 585', ' 5000']"
953.3847484588623,20.178870586951987,"['2026/09/22 23:04:48.791', ' 0', ' 49', ' 28.16', ' 585', ' 5000']"
958.4286234378815,20.1219998456892,"['2026/09/22 23:04:53.832', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
963.4703586101532,20.061532837412287,"['2026/09/22 23:04:58.876', ' 0', ' 49', ' 34.06', ' 585', ' 5000']"
968.5137529373169,20.18684925879954,"['2026/09/22 23:05:03.918', ' 0', ' 49', ' 28.16', ' 585', ' 5000']"
973.5590200424194,20.135171180712636,"['2026/09/22 23:05:08.961', ' 0', ' 49', ' 28.16', ' 585', ' 5000']"
978.6016688346863,20.241857497884116,"['2026/09/22 23:05:14.007', ' 5', ' 49', ' 31.29', ' 585', ' 5000']"
983.6496818065643,19.917352425871922,"['2026/09/22 23:05:19.053', ' 0', ' 49', ' 28.16', ' 585', ' 5000']"
988.6920156478882,20.15699424341747,"['2026/09/22 23:05:24.097', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
993.741518497467,19.98872476560636,"['2026/09/22 23:05:29.143', ' 0', ' 49', ' 28.16', ' 585', ' 5000']"
998.7828817367554,20.121946817756452,"['2026/09/22 23:05:34.189', ' 0', ' 49', ' 34.12', ' 585', ' 5000']"
1003.8272857666016,20.22300111293564,"['2026/09/22 23:05:39.230', ' 0', ' 49', ' 28.26', ' 585', ' 5000']"
1008.8745839595795,20.188877534570256,"['2026/09/22 23:05:44.275', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
1013.9156558513641,20.165911291193876,"['2026/09/22 23:05:49.321', ' 0', ' 49', ' 33.56', ' 585', ' 5000']"
1018.9597210884094,20.212954371324294,"['2026/09/22 23:05:54.362', ' 0', ' 49', ' 28.16', ' 585', ' 5000']"
1024.0012123584747,20.09269749344773,"['2026/09/22 23:05:59.407', ' 0', ' 49', ' 28.14', ' 585', ' 5000']"
1029.0492911338806,19.89353368008299,"['2026/09/22 23:06:04.452', ' 0', ' 49', ' 30.52', ' 585', ' 5000']"
